Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1990-09-05,9.005,9.005,9.005,9.005
1990-09-07,9.005,9.005,9.005,9.005
1990-09-10,8.925,8.925,8.925,8.925
1990-09-11,8.954,8.954,8.954,8.954
1990-09-12,8.965,8.965,8.965,8.965
1990-09-13,8.984,8.984,8.984,8.984
1990-09-14,8.992,8.992,8.992,8.992
1990-09-17,9.035,9.035,9.035,9.035
1990-09-18,9.032,9.032,9.032,9.032
1990-09-19,9.013,9.013,9.013,9.013
1990-09-20,9.014,9.014,9.014,9.014
1990-09-21,9.034,9.034,9.034,9.034
1990-09-24,9.087,9.087,9.087,9.087
1990-09-25,9.121,9.121,9.121,9.121
1990-09-26,9.104,9.104,9.104,9.104
1990-09-27,9.111,9.111,9.111,9.111
1990-09-28,9.129,9.129,9.129,9.129
1990-10-01,9.072,9.072,9.072,9.072
1990-10-02,9.008,9.008,9.008,9.008
1990-10-03,9.04,9.04,9.04,9.04
1990-10-04,9.059,9.059,9.059,9.059
1990-10-05,9.096,9.096,9.096,9.096
1990-10-08,9.053,9.053,9.053,9.053
1990-10-09,9.098,9.098,9.098,9.098
1990-10-10,9.112,9.112,9.112,9.112
1990-10-11,9.116,9.116,9.116,9.116
1990-10-12,9.098,9.098,9.098,9.098
1990-10-15,9.069,9.069,9.069,9.069
1990-10-16,9.077,9.077,9.077,9.077
1990-10-17,9.052,9.052,9.052,9.052
1990-10-18,8.988,8.988,8.988,8.988
1990-10-19,8.98,8.98,8.98,8.98
1990-10-22,8.954,8.954,8.954,8.954
1990-10-23,8.959,8.959,8.959,8.959
1990-10-24,8.957,8.957,8.957,8.957
1990-10-25,8.936,8.936,8.936,8.936
1990-10-29,8.964,8.964,8.964,8.964
1990-10-30,8.984,8.984,8.984,8.984
1990-10-31,8.957,8.957,8.957,8.957
1990-11-01,8.963,8.963,8.963,8.963
1990-11-06,9.012,9.012,9.012,9.012
1990-11-07,9.026,9.026,9.026,9.026
1990-11-08,9.062,9.062,9.062,9.062
1990-11-09,9.067,9.067,9.067,9.067
1990-11-12,8.998,8.998,8.998,8.998
1990-11-13,8.985,8.985,8.985,8.985
1990-11-14,9.003,9.003,9.003,9.003
1990-11-15,8.978,8.978,8.978,8.978
1990-11-19,8.887,8.887,8.887,8.887
1990-11-20,8.81,8.81,8.81,8.81
1990-11-21,8.796,8.796,8.796,8.796
1990-11-23,8.795,8.795,8.795,8.795
1990-11-26,8.803,8.803,8.803,8.803
1990-11-27,8.821,8.821,8.821,8.821
1990-11-28,8.839,8.839,8.839,8.839
1990-11-29,8.839,8.839,8.839,8.839
1990-11-30,8.824,8.824,8.824,8.824
1990-12-03,8.765,8.765,8.765,8.765
1990-12-04,8.857,8.857,8.857,8.857
1990-12-05,8.857,8.857,8.857,8.857
1990-12-06,8.831,8.831,8.831,8.831
1990-12-07,8.773,8.773,8.773,8.773
1990-12-10,8.785,8.785,8.785,8.785
1990-12-11,8.713,8.713,8.713,8.713
1990-12-12,8.696,8.696,8.696,8.696
1990-12-13,8.611,8.611,8.611,8.611
1990-12-14,8.655,8.655,8.655,8.655
1990-12-17,8.706,8.706,8.706,8.706
1990-12-19,8.711,8.711,8.711,8.711
1990-12-20,8.822,8.822,8.822,8.822
1990-12-21,8.92,8.92,8.92,8.92
1990-12-27,8.981,8.981,8.981,8.981
1990-12-28,8.998,8.998,8.998,8.998
1990-12-31,8.998,8.998,8.998,8.998
1991-01-01,8.992,8.992,8.992,8.992
1991-01-02,8.936,8.936,8.936,8.936
1991-01-03,8.936,8.936,8.936,8.936
1991-01-04,8.936,8.936,8.936,8.936
1991-01-07,9.001,9.001,9.001,9.001
1991-01-08,8.983,8.983,8.983,8.983
1991-01-09,8.983,8.983,8.983,8.983
1991-01-10,8.963,8.963,8.963,8.963
1991-01-11,8.946,8.946,8.946,8.946
1991-01-14,8.968,8.968,8.968,8.968
1991-01-15,8.97,8.97,8.97,8.97
1991-01-16,8.996,8.996,8.996,8.996
1991-01-17,8.848,8.848,8.848,8.848
1991-01-18,8.868,8.868,8.868,8.868
1991-01-21,8.855,8.855,8.855,8.855
1991-01-22,8.871,8.871,8.871,8.871
1991-01-23,8.857,8.857,8.857,8.857
1991-01-24,8.728,8.728,8.728,8.728
1991-01-25,8.727,8.727,8.727,8.727
1991-01-28,8.751,8.751,8.751,8.751
1991-01-29,8.685,8.685,8.685,8.685
1991-01-30,8.643,8.643,8.643,8.643
1991-01-31,8.615,8.615,8.615,8.615
1991-02-01,8.595,8.595,8.595,8.595
1991-02-04,8.575,8.575,8.575,8.575
1991-02-05,8.452,8.452,8.452,8.452
1991-02-06,8.45,8.45,8.45,8.45
1991-02-07,8.388,8.388,8.388,8.388
1991-02-08,8.414,8.414,8.414,8.414
1991-02-11,8.41,8.41,8.41,8.41
1991-02-12,8.444,8.444,8.444,8.444
1991-02-13,8.419,8.419,8.419,8.419
1991-02-14,8.245,8.245,8.245,8.245
1991-02-15,8.256,8.256,8.256,8.256
1991-02-18,8.211,8.211,8.211,8.211
1991-02-19,8.248,8.248,8.248,8.248
1991-02-20,8.317,8.317,8.317,8.317
1991-02-21,8.314,8.314,8.314,8.314
1991-02-22,8.322,8.322,8.322,8.322
1991-02-25,8.302,8.302,8.302,8.302
1991-02-26,8.354,8.354,8.354,8.354
1991-02-27,8.36,8.36,8.36,8.36
1991-02-28,8.329,8.329,8.329,8.329
1991-03-01,8.373,8.373,8.373,8.373
1991-03-04,8.414,8.414,8.414,8.414
1991-03-05,8.353,8.353,8.353,8.353
1991-03-06,8.341,8.341,8.341,8.341
1991-03-07,8.292,8.292,8.292,8.292
1991-03-08,8.304,8.304,8.304,8.304
1991-03-11,8.339,8.339,8.339,8.339
1991-03-12,8.338,8.338,8.338,8.338
1991-03-13,8.38,8.38,8.38,8.38
1991-03-14,8.366,8.366,8.366,8.366
1991-03-15,8.421,8.421,8.421,8.421
1991-03-18,8.456,8.456,8.456,8.456
1991-03-19,8.5,8.5,8.5,8.5
1991-03-20,8.485,8.485,8.485,8.485
1991-03-21,8.467,8.467,8.467,8.467
1991-03-22,8.468,8.468,8.468,8.468
1991-03-25,8.514,8.514,8.514,8.514
1991-03-26,8.547,8.547,8.547,8.547
1991-03-27,8.549,8.549,8.549,8.549
1991-03-28,8.484,8.484,8.484,8.484
1991-03-29,8.484,8.484,8.484,8.484
1991-04-01,8.471,8.471,8.471,8.471
1991-04-02,8.471,8.471,8.471,8.471
1991-04-03,8.435,8.435,8.435,8.435
1991-04-04,8.354,8.354,8.354,8.354
1991-04-05,8.331,8.331,8.331,8.331
1991-04-08,8.281,8.281,8.281,8.281
1991-04-09,8.316,8.316,8.316,8.316
1991-04-10,8.34,8.34,8.34,8.34
1991-04-11,8.321,8.321,8.321,8.321
1991-04-12,8.309,8.309,8.309,8.309
1991-04-15,8.315,8.315,8.315,8.315
1991-04-16,8.382,8.382,8.382,8.382
1991-04-17,8.335,8.335,8.335,8.335
1991-04-18,8.364,8.364,8.364,8.364
1991-04-19,8.422,8.422,8.422,8.422
1991-04-22,8.448,8.448,8.448,8.448
1991-04-23,8.397,8.397,8.397,8.397
1991-04-24,8.418,8.418,8.418,8.418
1991-04-25,8.407,8.407,8.407,8.407
1991-04-26,8.442,8.442,8.442,8.442
1991-04-29,8.398,8.398,8.398,8.398
1991-04-30,8.341,8.341,8.341,8.341
1991-05-01,8.337,8.337,8.337,8.337
1991-05-02,8.337,8.337,8.337,8.337
1991-05-03,8.385,8.385,8.385,8.385
1991-05-06,8.375,8.375,8.375,8.375
1991-05-07,8.399,8.399,8.399,8.399
1991-05-08,8.437,8.437,8.437,8.437
1991-05-09,8.41,8.41,8.41,8.41
1991-05-10,8.404,8.404,8.404,8.404
1991-05-13,8.425,8.425,8.425,8.425
1991-05-14,8.498,8.498,8.498,8.498
1991-05-15,8.426,8.426,8.426,8.426
1991-05-16,8.426,8.426,8.426,8.426
1991-05-17,8.436,8.436,8.436,8.436
