Data,Zamkniecie,Najwyzszy,Najnizszy
1991-12-31,100.0,100.0,100.0
1992-01-02,100.36,100.36,100.36
1992-01-03,100.03,100.03,100.03
1992-01-06,101.36,101.36,101.36
1992-01-07,101.15,101.15,101.15
1992-01-08,99.93,99.93,99.93
1992-01-09,100.2,100.2,100.2
1992-01-10,101.18,101.18,101.18
1992-01-13,101.58,101.58,101.58
1992-01-14,102.48,102.48,102.48
1992-01-15,103.94,103.94,103.94
1992-01-16,104.47,104.47,104.47
1992-01-17,104.22,104.22,104.22
1992-01-20,104.65,104.65,104.65
1992-01-21,104.64,104.64,104.64
1992-01-22,104.0,104.0,104.0
1992-01-23,103.55,103.55,103.55
1992-01-24,103.37,103.37,103.37
1992-01-27,105.09,105.09,105.09
1992-01-28,105.06,105.06,105.06
1992-01-29,105.0,105.0,105.0
1992-01-30,105.1,105.1,105.1
1992-01-31,104.93,104.93,104.93
1992-02-03,105.81,105.81,105.81
1992-02-04,104.73,104.73,104.73
1992-02-05,105.87,105.87,105.87
1992-02-06,105.31,105.31,105.31
1992-02-07,105.84,105.84,105.84
1992-02-10,104.16,104.16,104.16
1992-02-11,104.52,104.52,104.52
1992-02-12,104.48,104.48,104.48
1992-02-13,104.68,104.68,104.68
1992-02-14,104.52,104.52,104.52
1992-02-17,104.68,104.68,104.68
1992-02-18,105.82,105.82,105.82
1992-02-19,105.22,105.22,105.22
1992-02-20,105.85,105.85,105.85
1992-02-21,105.69,105.69,105.69
1992-02-24,106.47,106.47,106.47
1992-02-25,105.54,105.54,105.54
1992-02-26,107.11,107.11,107.11
1992-02-27,107.28,107.28,107.28
1992-02-28,106.67,106.67,106.67
1992-03-02,106.82,106.82,106.82
1992-03-03,106.87,106.87,106.87
1992-03-04,107.37,107.37,107.37
1992-03-05,106.43,106.43,106.43
1992-03-06,106.26,106.26,106.26
1992-03-09,106.6,106.6,106.6
1992-03-10,106.92,106.92,106.92
1992-03-11,105.89,105.89,105.89
1992-03-12,105.01,105.01,105.01
1992-03-13,104.21,104.21,104.21
1992-03-16,104.2,104.2,104.2
1992-03-17,104.52,104.52,104.52
1992-03-18,104.05,104.05,104.05
1992-03-19,103.97,103.97,103.97
1992-03-20,104.58,104.58,104.58
1992-03-23,103.42,103.42,103.42
1992-03-24,103.55,103.55,103.55
1992-03-25,103.65,103.65,103.65
1992-03-26,104.06,104.06,104.06
1992-03-27,103.45,103.45,103.45
1992-03-30,103.68,103.68,103.68
1992-03-31,103.4,103.4,103.4
1992-04-01,102.68,102.68,102.68
1992-04-02,102.54,102.54,102.54
1992-04-03,102.24,102.24,102.24
1992-04-06,102.8,102.8,102.8
1992-04-07,103.04,103.04,103.04
1992-04-08,101.66,101.66,101.66
1992-04-09,102.42,102.42,102.42
1992-04-10,106.26,106.26,106.26
1992-04-13,106.53,106.53,106.53
1992-04-14,106.71,106.71,106.71
1992-04-15,108.5,108.5,108.5
1992-04-16,106.89,106.89,106.89
1992-04-17,106.86,106.86,106.86
1992-04-20,108.64,108.64,108.64
1992-04-21,108.35,108.35,108.35
1992-04-22,108.18,108.18,108.18
1992-04-23,108.37,108.37,108.37
1992-04-24,108.87,108.87,108.87
1992-04-27,109.27,109.27,109.27
1992-04-28,109.13,109.13,109.13
1992-04-29,109.46,109.46,109.46
1992-04-30,109.5,109.5,109.5
1992-05-01,109.34,109.34,109.34
1992-05-04,109.04,109.04,109.04
1992-05-05,109.58,109.58,109.58
1992-05-06,109.98,109.98,109.98
1992-05-07,110.49,110.49,110.49
1992-05-08,111.41,111.41,111.41
1992-05-11,111.85,111.85,111.85
1992-05-12,111.15,111.15,111.15
1992-05-13,110.89,110.89,110.89
1992-05-14,110.08,110.08,110.08
1992-05-15,110.69,110.69,110.69
1992-05-18,110.46,110.46,110.46
1992-05-19,110.5,110.5,110.5
1992-05-20,110.86,110.86,110.86
1992-05-21,110.79,110.79,110.79
1992-05-22,111.67,111.67,111.67
1992-05-25,111.97,111.97,111.97
1992-05-26,111.13,111.13,111.13
1992-05-27,110.92,110.92,110.92
1992-05-28,110.76,110.76,110.76
1992-05-29,111.26,111.26,111.26
1992-06-01,111.12,111.12,111.12
1992-06-02,110.73,110.73,110.73
1992-06-03,110.19,110.19,110.19
1992-06-04,110.11,110.11,110.11
1992-06-05,109.54,109.54,109.54
1992-06-08,109.08,109.08,109.08
1992-06-09,108.25,108.25,108.25
1992-06-10,108.58,108.58,108.58
1992-06-11,107.66,107.66,107.66
1992-06-12,107.46,107.46,107.46
1992-06-15,106.93,106.93,106.93
1992-06-16,107.38,107.38,107.38
1992-06-17,107.08,107.08,107.08
1992-06-18,105.99,105.99,105.99
1992-06-19,106.15,106.15,106.15
1992-06-22,105.4,105.4,105.4
1992-06-23,105.49,105.49,105.49
1992-06-24,105.04,105.04,105.04
1992-06-25,104.87,104.87,104.87
1992-06-26,104.96,104.96,104.96
1992-06-29,103.8,103.8,103.8
1992-06-30,104.08,104.08,104.08
1992-07-01,102.75,102.75,102.75
1992-07-02,103.43,103.43,103.43
1992-07-03,103.49,103.49,103.49
1992-07-06,102.47,102.47,102.47
1992-07-07,102.46,102.46,102.46
1992-07-08,101.85,101.85,101.85
1992-07-09,102.72,102.72,102.72
1992-07-10,103.02,103.02,103.02
1992-07-13,101.5,101.5,101.5
1992-07-14,101.48,101.48,101.48
1992-07-15,101.25,101.25,101.25
1992-07-16,102.02,102.02,102.02
1992-07-17,99.75,99.75,99.75
1992-07-20,97.25,97.25,97.25
1992-07-21,97.66,97.66,97.66
1992-07-22,96.95,96.95,96.95
1992-07-23,97.0,97.0,97.0
1992-07-24,95.91,95.91,95.91
1992-07-27,95.88,95.88,95.88
1992-07-28,96.25,96.25,96.25
1992-07-29,97.16,97.16,97.16
1992-07-30,97.67,97.67,97.67
1992-07-31,97.26,97.26,97.26
1992-08-03,97.23,97.23,97.23
1992-08-04,97.15,97.15,97.15
1992-08-05,96.7,96.7,96.7
1992-08-06,96.95,96.95,96.95
1992-08-07,95.77,95.77,95.77
1992-08-10,94.95,94.95,94.95
1992-08-11,94.02,94.02,94.02
1992-08-12,93.44,93.44,93.44
1992-08-13,93.25,93.25,93.25
1992-08-14,94.53,94.53,94.53
1992-08-17,94.86,94.86,94.86
1992-08-18,94.12,94.12,94.12
1992-08-19,94.35,94.35,94.35
1992-08-20,94.1,94.1,94.1
