Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-05-20,99.98,99.98,99.98,99.98
2015-05-21,100.03,100.03,100.03,100.03
2015-05-22,100.65,100.65,100.65,100.65
2015-05-25,102.27,102.27,102.27,102.27
2015-05-26,100.03,100.03,100.03,100.03
2015-05-27,99.49,99.49,99.49,99.49
2015-05-28,98.16,98.16,98.16,98.16
2015-05-29,97.53,97.53,97.53,97.53
2015-06-01,97.71,97.71,97.71,97.71
2015-06-02,97.49,97.49,97.49,97.49
2015-06-03,95.78,95.78,95.78,95.78
2015-06-05,95.87,95.87,95.87,95.87
2015-06-08,96.55,96.55,96.55,96.55
2015-06-09,95.01,95.01,95.01,95.01
2015-06-10,95.49,95.49,95.49,95.49
2015-06-11,95.95,95.95,95.95,95.95
2015-06-12,96.43,96.43,96.43,96.43
2015-06-15,95.01,95.01,95.01,95.01
2015-06-16,95.42,95.42,95.42,95.42
2015-06-17,95.58,95.58,95.58,95.58
2015-06-18,96.83,96.83,96.83,96.83
2015-06-19,97.23,97.23,97.23,97.23
2015-06-22,97.29,97.29,97.29,97.29
2015-06-23,98.34,98.34,98.34,98.34
2015-06-24,97.69,97.69,97.69,97.69
2015-06-25,97.63,97.63,97.63,97.63
2015-06-26,96.55,96.55,96.55,96.55
2015-06-29,95.46,95.46,95.46,95.46
2015-06-30,95.52,95.52,95.52,95.52
2015-07-01,95.6,95.6,95.6,95.6
2015-07-02,95.81,95.81,95.81,95.81
2015-07-03,95.13,95.13,95.13,95.13
2015-07-06,93.92,93.92,93.92,93.92
2015-07-07,92.79,92.79,92.79,92.79
2015-07-08,90.19,90.19,90.19,90.19
2015-07-09,91.81,91.81,91.81,91.81
2015-07-10,92.87,92.87,92.87,92.87
2015-07-13,93.5,93.5,93.5,93.5
2015-07-14,93.19,93.19,93.19,93.19
2015-07-15,92.72,92.72,92.72,92.72
2015-07-16,93.85,93.85,93.85,93.85
2015-07-17,93.97,93.97,93.97,93.97
2015-07-20,93.38,93.38,93.38,93.38
2015-07-21,93.68,93.68,93.68,93.68
2015-07-22,92.48,92.48,92.48,92.48
2015-07-23,92.1,92.1,92.1,92.1
