Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2004-12-31,1960.57,1960.57,1960.57,1960.57
2005-01-03,1966.69,1966.69,1966.69,1966.69
2005-01-04,1954.8,1954.8,1954.8,1954.8
2005-01-05,1910.33,1910.33,1910.33,1910.33
2005-01-06,1897.29,1897.29,1897.29,1897.29
2005-01-07,1903.83,1903.83,1903.83,1903.83
2005-01-10,1889.81,1889.81,1889.81,1889.81
2005-01-11,1877.82,1877.82,1877.82,1877.82
2005-01-12,1885.8,1885.8,1885.8,1885.8
2005-01-13,1890.18,1890.18,1890.18,1890.18
2005-01-14,1890.03,1890.03,1890.03,1890.03
2005-01-17,1893.39,1893.39,1893.39,1893.39
2005-01-18,1844.02,1844.02,1844.02,1844.02
2005-01-19,1845.48,1845.48,1845.48,1845.48
2005-01-20,1840.71,1840.71,1840.71,1840.71
2005-01-21,1832.12,1832.12,1832.12,1832.12
2005-01-24,1832.79,1832.79,1832.79,1832.79
2005-01-25,1851.06,1851.06,1851.06,1851.06
2005-01-26,1861.93,1861.93,1861.93,1861.93
2005-01-27,1863.92,1863.92,1863.92,1863.92
2005-01-28,1872.2,1872.2,1872.2,1872.2
2005-01-31,1887.41,1887.41,1887.41,1887.41
2005-02-01,1916.14,1916.14,1916.14,1916.14
2005-02-02,1903.36,1903.36,1903.36,1903.36
2005-02-03,1910.72,1910.72,1910.72,1910.72
2005-02-04,1935.65,1935.65,1935.65,1935.65
2005-02-07,1966.72,1966.72,1966.72,1966.72
2005-02-08,1963.48,1963.48,1963.48,1963.48
2005-02-09,1951.05,1951.05,1951.05,1951.05
2005-02-10,1967.09,1967.09,1967.09,1967.09
2005-02-11,1964.42,1964.42,1964.42,1964.42
2005-02-14,1960.81,1960.81,1960.81,1960.81
2005-02-15,1973.93,1973.93,1973.93,1973.93
2005-02-16,2021.15,2021.15,2021.15,2021.15
2005-02-17,2045.06,2045.06,2045.06,2045.06
2005-02-18,2045.66,2045.66,2045.66,2045.66
2005-02-21,2076.89,2076.89,2076.89,2076.89
2005-02-22,2062.32,2062.32,2062.32,2062.32
2005-02-23,2054.25,2054.25,2054.25,2054.25
2005-02-24,2075.98,2075.98,2075.98,2075.98
2005-02-25,2118.49,2118.49,2118.49,2118.49
2005-02-28,2092.33,2092.33,2092.33,2092.33
2005-03-01,2088.8,2088.8,2088.8,2088.8
2005-03-02,2015.14,2015.14,2015.14,2015.14
2005-03-03,2028.54,2028.54,2028.54,2028.54
2005-03-04,2052.94,2052.94,2052.94,2052.94
2005-03-07,2063.67,2063.67,2063.67,2063.67
2005-03-08,2053.34,2053.34,2053.34,2053.34
2005-03-09,2092.51,2092.51,2092.51,2092.51
2005-03-10,2065.11,2065.11,2065.11,2065.11
2005-03-11,2033.63,2033.63,2033.63,2033.63
2005-03-14,2011.62,2011.62,2011.62,2011.62
2005-03-15,2013.09,2013.09,2013.09,2013.09
2005-03-16,1963.92,1963.92,1963.92,1963.92
2005-03-17,1951.88,1951.88,1951.88,1951.88
2005-03-18,1970.17,1970.17,1970.17,1970.17
2005-03-21,1932.68,1932.68,1932.68,1932.68
2005-03-22,1971.52,1971.52,1971.52,1971.52
2005-03-23,1965.88,1965.88,1965.88,1965.88
2005-03-24,1970.4,1970.4,1970.4,1970.4
2005-03-29,1971.25,1971.25,1971.25,1971.25
2005-03-30,1981.08,1981.08,1981.08,1981.08
2005-03-31,1999.87,1999.87,1999.87,1999.87
2005-04-01,1990.16,1990.16,1990.16,1990.16
2005-04-04,1986.92,1986.92,1986.92,1986.92
2005-04-05,2002.09,2002.09,2002.09,2002.09
2005-04-06,2019.06,2019.06,2019.06,2019.06
2005-04-07,1994.44,1994.44,1994.44,1994.44
2005-04-11,1998.05,1998.05,1998.05,1998.05
2005-04-12,1995.26,1995.26,1995.26,1995.26
2005-04-13,1988.77,1988.77,1988.77,1988.77
2005-04-14,1968.24,1968.24,1968.24,1968.24
2005-04-15,1955.47,1955.47,1955.47,1955.47
2005-04-18,1911.99,1911.99,1911.99,1911.99
2005-04-19,1912.57,1912.57,1912.57,1912.57
2005-04-20,1893.19,1893.19,1893.19,1893.19
2005-04-21,1921.34,1921.34,1921.34,1921.34
2005-04-22,1934.43,1934.43,1934.43,1934.43
2005-04-25,1935.34,1935.34,1935.34,1935.34
2005-04-26,1914.63,1914.63,1914.63,1914.63
2005-04-27,1881.28,1881.28,1881.28,1881.28
2005-04-28,1859.92,1859.92,1859.92,1859.92
