Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2006-12-29,1000.0,1000.0,1000.0,1000.0
2007-01-02,1002.19,1002.19,1002.19,1002.19
2007-01-03,1004.75,1004.75,1004.75,1004.75
2007-01-04,1002.75,1002.75,1002.75,1002.75
2007-01-05,1002.1,1002.1,1002.1,1002.1
2007-01-08,1002.39,1002.39,1002.39,1002.39
2007-01-09,1002.22,1002.22,1002.22,1002.22
2007-01-10,1000.94,1000.94,1000.94,1000.94
2007-01-11,1002.93,1002.93,1002.93,1002.93
2007-01-12,1002.75,1002.75,1002.75,1002.75
2007-01-15,1004.98,1004.98,1004.98,1004.98
2007-01-16,1004.47,1004.47,1004.47,1004.47
2007-01-17,1004.7,1004.7,1004.7,1004.7
2007-01-18,1007.69,1007.69,1007.69,1007.69
2007-01-19,1007.76,1007.76,1007.76,1007.76
2007-01-22,1008.08,1008.08,1008.08,1008.08
2007-01-23,1006.33,1006.33,1006.33,1006.33
2007-01-24,1006.33,1006.33,1006.33,1006.33
2007-01-25,1006.54,1006.54,1006.54,1006.54
2007-01-26,1004.42,1004.42,1004.42,1004.42
2007-01-29,1003.69,1003.69,1003.69,1003.69
2007-01-30,1004.59,1004.59,1004.59,1004.59
2007-01-31,1006.26,1006.26,1006.26,1006.26
2007-02-01,1006.32,1006.32,1006.32,1006.32
2007-02-02,1005.52,1005.52,1005.52,1005.52
2007-02-05,1006.74,1006.74,1006.74,1006.74
2007-02-06,1007.47,1007.47,1007.47,1007.47
2007-02-07,1007.38,1007.38,1007.38,1007.38
2007-02-08,1006.48,1006.48,1006.48,1006.48
2007-02-09,1006.46,1006.46,1006.46,1006.46
2007-02-12,1005.92,1005.92,1005.92,1005.92
2007-02-13,1006.58,1006.58,1006.58,1006.58
2007-02-14,1007.59,1007.59,1007.59,1007.59
2007-02-15,1008.58,1008.58,1008.58,1008.58
2007-02-16,1008.0,1008.0,1008.0,1008.0
2007-02-19,1007.94,1007.94,1007.94,1007.94
2007-02-20,1007.64,1007.64,1007.64,1007.64
2007-02-21,1006.57,1006.57,1006.57,1006.57
2007-02-22,1006.07,1006.07,1006.07,1006.07
2007-02-23,1005.31,1005.31,1005.31,1005.31
2007-02-26,1005.51,1005.51,1005.51,1005.51
2007-02-27,1005.32,1005.32,1005.32,1005.32
2007-02-28,1006.41,1006.41,1006.41,1006.41
2007-03-01,1007.56,1007.56,1007.56,1007.56
2007-03-02,1008.26,1008.26,1008.26,1008.26
2007-03-05,1008.2,1008.2,1008.2,1008.2
2007-03-06,1008.49,1008.49,1008.49,1008.49
2007-03-07,1008.58,1008.58,1008.58,1008.58
2007-03-08,1009.71,1009.71,1009.71,1009.71
2007-03-09,1010.04,1010.04,1010.04,1010.04
2007-03-12,1009.95,1009.95,1009.95,1009.95
2007-03-13,1010.27,1010.27,1010.27,1010.27
2007-03-14,1009.88,1009.88,1009.88,1009.88
2007-03-15,1009.81,1009.81,1009.81,1009.81
2007-03-16,1009.66,1009.66,1009.66,1009.66
2007-03-19,1010.51,1010.51,1010.51,1010.51
2007-03-20,1010.78,1010.78,1010.78,1010.78
2007-03-21,1011.11,1011.11,1011.11,1011.11
2007-03-22,1012.14,1012.14,1012.14,1012.14
2007-03-23,1011.67,1011.67,1011.67,1011.67
2007-03-26,1011.17,1011.17,1011.17,1011.17
2007-03-27,1010.68,1010.68,1010.68,1010.68
2007-03-28,1010.65,1010.65,1010.65,1010.65
2007-03-29,1011.68,1011.68,1011.68,1011.68
2007-03-30,1011.55,1011.55,1011.55,1011.55
2007-04-02,1009.83,1009.83,1009.83,1009.83
2007-04-03,1010.22,1010.22,1010.22,1010.22
2007-04-04,1011.03,1011.03,1011.03,1011.03
2007-04-05,1011.3,1011.3,1011.3,1011.3
2007-04-10,1010.73,1010.73,1010.73,1010.73
2007-04-11,1010.98,1010.98,1010.98,1010.98
2007-04-12,1010.65,1010.65,1010.65,1010.65
2007-04-13,1009.66,1009.66,1009.66,1009.66
2007-04-16,1009.55,1009.55,1009.55,1009.55
2007-04-17,1009.06,1009.06,1009.06,1009.06
2007-04-18,1009.46,1009.46,1009.46,1009.46
2007-04-19,1009.85,1009.85,1009.85,1009.85
2007-04-20,1009.76,1009.76,1009.76,1009.76
2007-04-23,1010.56,1010.56,1010.56,1010.56
2007-04-24,1010.99,1010.99,1010.99,1010.99
2007-04-25,1011.06,1011.06,1011.06,1011.06
2007-04-26,1011.31,1011.31,1011.31,1011.31
2007-04-27,1011.56,1011.56,1011.56,1011.56
2007-04-30,1012.25,1012.25,1012.25,1012.25
2007-05-02,1012.74,1012.74,1012.74,1012.74
2007-05-04,1013.78,1013.78,1013.78,1013.78
2007-05-07,1013.93,1013.93,1013.93,1013.93
2007-05-08,1014.42,1014.42,1014.42,1014.42
2007-05-09,1014.26,1014.26,1014.26,1014.26
2007-05-10,1012.96,1012.96,1012.96,1012.96
2007-05-11,1012.97,1012.97,1012.97,1012.97
2007-05-14,1013.12,1013.12,1013.12,1013.12
2007-05-15,1013.46,1013.46,1013.46,1013.46
2007-05-16,1013.83,1013.83,1013.83,1013.83
2007-05-17,1014.06,1014.06,1014.06,1014.06
2007-05-18,1015.15,1015.15,1015.15,1015.15
2007-05-21,1015.98,1015.98,1015.98,1015.98
2007-05-22,1016.39,1016.39,1016.39,1016.39
2007-05-23,1016.14,1016.14,1016.14,1016.14
2007-05-24,1014.74,1014.74,1014.74,1014.74
2007-05-25,1014.62,1014.62,1014.62,1014.62
2007-05-28,1015.1,1015.1,1015.1,1015.1
2007-05-29,1014.88,1014.88,1014.88,1014.88
2007-05-30,1014.85,1014.85,1014.85,1014.85
2007-05-31,1015.92,1015.92,1015.92,1015.92
2007-06-01,1016.3,1016.3,1016.3,1016.3
2007-06-04,1016.62,1016.62,1016.62,1016.62
2007-06-05,1015.84,1015.84,1015.84,1015.84
2007-06-06,1014.2,1014.2,1014.2,1014.2
2007-06-08,1010.59,1010.59,1010.59,1010.59
2007-06-11,1011.6,1011.6,1011.6,1011.6
2007-06-12,1010.96,1010.96,1010.96,1010.96
2007-06-13,1010.04,1010.04,1010.04,1010.04
2007-06-14,1010.08,1010.08,1010.08,1010.08
2007-06-15,1010.81,1010.81,1010.81,1010.81
2007-06-18,1010.71,1010.71,1010.71,1010.71
2007-06-19,1007.84,1007.84,1007.84,1007.84
2007-06-20,1005.68,1005.68,1005.68,1005.68
2007-06-21,1005.83,1005.83,1005.83,1005.83
2007-06-22,1006.64,1006.64,1006.64,1006.64
2007-06-25,1007.56,1007.56,1007.56,1007.56
2007-06-26,1007.92,1007.92,1007.92,1007.92
2007-06-27,1006.37,1006.37,1006.37,1006.37
2007-06-28,1007.31,1007.31,1007.31,1007.31
2007-06-29,1007.31,1007.31,1007.31,1007.31
2007-07-02,1007.25,1007.25,1007.25,1007.25
2007-07-03,1006.69,1006.69,1006.69,1006.69
2007-07-04,1006.92,1006.92,1006.92,1006.92
2007-07-05,1007.11,1007.11,1007.11,1007.11
2007-07-06,1006.64,1006.64,1006.64,1006.64
2007-07-09,1006.59,1006.59,1006.59,1006.59
2007-07-10,1007.04,1007.04,1007.04,1007.04
2007-07-11,1007.7,1007.7,1007.7,1007.7
2007-07-12,1009.5,1009.5,1009.5,1009.5
2007-07-13,1010.75,1010.75,1010.75,1010.75
2007-07-16,1010.24,1010.24,1010.24,1010.24
2007-07-17,1011.49,1011.49,1011.49,1011.49
2007-07-18,1011.0,1011.0,1011.0,1011.0
2007-07-19,1011.31,1011.31,1011.31,1011.31
2007-07-20,1012.2,1012.2,1012.2,1012.2
2007-07-23,1013.1,1013.1,1013.1,1013.1
2007-07-24,1012.64,1012.64,1012.64,1012.64
2007-07-25,1013.17,1013.17,1013.17,1013.17
2007-07-26,1011.8,1011.8,1011.8,1011.8
2007-07-27,1011.64,1011.64,1011.64,1011.64
2007-07-30,1011.61,1011.61,1011.61,1011.61
2007-07-31,1012.06,1012.06,1012.06,1012.06
2007-08-01,1011.75,1011.75,1011.75,1011.75
2007-08-02,1013.09,1013.09,1013.09,1013.09
2007-08-03,1013.84,1013.84,1013.84,1013.84
2007-08-06,1013.96,1013.96,1013.96,1013.96
2007-08-07,1014.34,1014.34,1014.34,1014.34
2007-08-08,1013.92,1013.92,1013.92,1013.92
2007-08-09,1013.52,1013.52,1013.52,1013.52
2007-08-10,1013.83,1013.83,1013.83,1013.83
2007-08-13,1014.42,1014.42,1014.42,1014.42
2007-08-14,1011.5,1011.5,1011.5,1011.5
2007-08-16,1009.12,1009.12,1009.12,1009.12
2007-08-17,1011.66,1011.66,1011.66,1011.66
2007-08-20,1009.86,1009.86,1009.86,1009.86
2007-08-21,1009.01,1009.01,1009.01,1009.01
2007-08-22,1009.68,1009.68,1009.68,1009.68
2007-08-23,1009.91,1009.91,1009.91,1009.91
2007-08-24,1010.24,1010.24,1010.24,1010.24
2007-08-27,1010.96,1010.96,1010.96,1010.96
2007-08-28,1010.91,1010.91,1010.91,1010.91
2007-08-29,1010.24,1010.24,1010.24,1010.24
2007-08-30,1010.37,1010.37,1010.37,1010.37
2007-08-31,1011.1,1011.1,1011.1,1011.1
2007-09-03,1011.34,1011.34,1011.34,1011.34
2007-09-04,1011.62,1011.62,1011.62,1011.62
2007-09-05,1011.98,1011.98,1011.98,1011.98
2007-09-06,1012.61,1012.61,1012.61,1012.61
2007-09-07,1012.55,1012.55,1012.55,1012.55
2007-09-10,1012.81,1012.81,1012.81,1012.81
2007-09-11,1013.55,1013.55,1013.55,1013.55
2007-09-12,1013.93,1013.93,1013.93,1013.93
2007-09-13,1018.49,1018.49,1018.49,1018.49
2007-09-14,1018.29,1018.29,1018.29,1018.29
2007-09-17,1017.36,1017.36,1017.36,1017.36
2007-09-18,1017.0,1017.0,1017.0,1017.0
2007-09-19,1018.43,1018.43,1018.43,1018.43
2007-09-20,1018.04,1018.04,1018.04,1018.04
2007-09-21,1017.32,1017.32,1017.32,1017.32
2007-09-24,1017.51,1017.51,1017.51,1017.51
2007-09-25,1016.74,1016.74,1016.74,1016.74
2007-09-26,1016.91,1016.91,1016.91,1016.91
2007-09-27,1017.47,1017.47,1017.47,1017.47
2007-09-28,1018.12,1018.12,1018.12,1018.12
2007-10-01,1018.42,1018.42,1018.42,1018.42
2007-10-02,1018.56,1018.56,1018.56,1018.56
2007-10-03,1018.21,1018.21,1018.21,1018.21
2007-10-04,1018.45,1018.45,1018.45,1018.45
2007-10-05,1018.9,1018.9,1018.9,1018.9
2007-10-08,1019.1,1019.1,1019.1,1019.1
2007-10-09,1019.54,1019.54,1019.54,1019.54
2007-10-10,1020.07,1020.07,1020.07,1020.07
2007-10-11,1020.32,1020.32,1020.32,1020.32
2007-10-12,1020.68,1020.68,1020.68,1020.68
2007-10-15,1018.22,1018.22,1018.22,1018.22
2007-10-16,1017.4,1017.4,1017.4,1017.4
2007-10-17,1017.06,1017.06,1017.06,1017.06
2007-10-18,1017.66,1017.66,1017.66,1017.66
2007-10-19,1019.84,1019.84,1019.84,1019.84
2007-10-22,1021.82,1021.82,1021.82,1021.82
2007-10-23,1024.95,1024.95,1024.95,1024.95
2007-10-24,1024.39,1024.39,1024.39,1024.39
2007-10-25,1025.84,1025.84,1025.84,1025.84
2007-10-26,1024.56,1024.56,1024.56,1024.56
2007-10-29,1024.86,1024.86,1024.86,1024.86
2007-10-30,1024.46,1024.46,1024.46,1024.46
2007-10-31,1024.76,1024.76,1024.76,1024.76
2007-11-02,1024.11,1024.11,1024.11,1024.11
2007-11-05,1020.52,1020.52,1020.52,1020.52
