mode,train_years,test_years,oos_start,oos_end,n_reallocations,port_cagr,port_vol,port_sharpe,port_maxdd,port_calmar,port_sortino,bh_Nikkei225_cagr,bh_Nikkei225_sharpe,bh_SP500_cagr,bh_SP500_sharpe,bh_STOXX600_cagr,bh_STOXX600_sharpe,bh_TBSP_cagr,bh_TBSP_sharpe,bh_WIG_cagr,bh_WIG_sharpe,mc_Nikkei225_verdict,mc_Nikkei225_p05cagr,mc_Nikkei225_faildetail,mc_SP500_verdict,mc_SP500_p05cagr,mc_SP500_faildetail,mc_STOXX600_verdict,mc_STOXX600_p05cagr,mc_STOXX600_faildetail,mc_TBSP_verdict,mc_TBSP_p05cagr,mc_TBSP_faildetail,mc_WIG_verdict,mc_WIG_p05cagr,mc_WIG_faildetail,alloc_Nikkei225_verdict,alloc_Nikkei225_ratio,alloc_SP500_verdict,alloc_SP500_ratio,alloc_TBSP_verdict,alloc_TBSP_ratio,alloc_WIG_verdict,alloc_WIG_ratio,w_Nikkei225_mean,w_SP500_mean,w_STOXX600_mean,w_TBSP_mean,w_WIG_mean
global_equity,6,1,2008-01-04,2026-03-27,150,0.055520,0.055928,0.992700,-0.202654,0.273964,0.930454,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0447,p05_MaxDD<thr,FRAGILE,0.0644,p05_MaxDD<thr,FRAGILE,0.0315,p05_MaxDD<thr,ROBUST,0.0452,—,FRAGILE,0.0899,p05_MaxDD<thr; outlier_CAGR,PLATEAU,0.8956,PLATEAU,0.9787,PLATEAU,0.9314,PLATEAU,0.9090,0.1190,0.0810,0.0000,0.5667,0.2190
global_equity,6,2,2008-01-04,2026-03-27,122,0.079130,0.080965,0.977327,-0.177745,0.445187,0.898459,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0414,p05_MaxDD<thr,FRAGILE,0.0666,p05_MaxDD<thr,FRAGILE,0.0288,p05_MaxDD<thr,ROBUST,0.0452,—,ROBUST,0.0945,—,,,PLATEAU,0.8908,PLATEAU,0.9396,PLATEAU,0.9327,0.0000,0.4600,0.0000,0.2100,0.3300
global_equity,7,1,2008-01-04,2026-03-27,150,0.049119,0.050065,0.981104,-0.147040,0.334049,0.913711,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0459,p05_MaxDD<thr,FRAGILE,0.0623,p05_MaxDD<thr; outlier_CAGR,ROBUST,0.0362,—,ROBUST,0.0434,—,ROBUST,0.0867,—,PLATEAU,0.8834,PLATEAU,0.8953,PLATEAU,0.9030,PLATEAU,0.9335,0.1200,0.0700,0.0000,0.6100,0.2000
global_equity,7,2,2008-01-04,2026-03-27,146,0.060094,0.056417,1.065170,-0.101414,0.592560,1.031804,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0426,p05_MaxDD<thr,FRAGILE,0.0620,p05_MaxDD<thr,FRAGILE,0.0271,p05_MaxDD<thr,ROBUST,0.0440,—,ROBUST,0.0897,—,PLATEAU,0.8763,MODERATE,0.7951,PLATEAU,0.9473,PLATEAU,0.9157,0.0700,0.1700,0.0000,0.3800,0.3300
global_equity,8,1,2008-01-04,2026-03-27,121,0.057206,0.067936,0.842052,-0.184309,0.310380,0.776304,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0375,p05_MaxDD<thr; outlier_CAGR,FRAGILE,0.0536,p05_MaxDD<thr,FRAGILE,0.0316,p05_MaxDD<thr; outlier_CAGR,ROBUST,0.0432,—,ROBUST,0.0891,—,PLATEAU,0.9550,PLATEAU,0.8279,PLATEAU,0.9616,PLATEAU,0.9718,0.0684,0.2947,0.0000,0.3737,0.2632
global_equity,8,2,2008-01-04,2026-03-27,125,0.053841,0.050852,1.058797,-0.070938,0.758992,0.995743,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0436,p05_MaxDD<thr,FRAGILE,0.0516,p05_MaxDD<thr,FRAGILE,0.0393,p05_MaxDD<thr,ROBUST,0.0423,—,ROBUST,0.0925,—,,,MODERATE,0.7004,PLATEAU,0.9667,PLATEAU,0.8970,0.0000,0.1333,0.0333,0.5667,0.2111
global_equity,9,1,2008-01-04,2026-03-27,91,0.058835,0.050857,1.156872,-0.106218,0.553909,1.101514,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0485,p05_MaxDD<thr,FRAGILE,0.0536,p05_MaxDD<thr,FRAGILE,0.0275,p05_MaxDD<thr,ROBUST,0.0434,—,ROBUST,0.0739,—,,,PLATEAU,0.8528,PLATEAU,0.9647,PLATEAU,0.8913,0.0000,0.2056,0.0000,0.5611,0.1556
global_equity,9,2,2008-01-04,2026-03-27,132,0.061904,0.083717,0.739448,-0.196335,0.315299,0.675145,0.075648,0.3178,0.086335,0.4321,0.026800,0.1456,0.042870,1.8551,0.044102,0.2226,FRAGILE,0.0484,p05_MaxDD<thr,FRAGILE,0.0540,p05_MaxDD<thr,ROBUST,0.0435,—,ROBUST,0.0447,—,ROBUST,0.0799,—,PLATEAU,0.9561,PLATEAU,0.9388,PLATEAU,0.9744,PLATEAU,0.9008,0.2000,0.3556,0.0000,0.1778,0.2444
msci_world,6,1,2008-01-04,2026-03-27,81,0.091364,0.092247,0.990438,-0.173041,0.527994,1.012209,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0452,—,FRAGILE,0.0899,p05_MaxDD<thr; outlier_CAGR,,,,,PLATEAU,0.9757,PLATEAU,0.8973,,,,0.2810,0.7190
msci_world,6,2,2008-01-04,2026-03-27,109,0.071723,0.073691,0.973290,-0.159617,0.449343,1.004948,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0452,—,ROBUST,0.0945,—,,,,,PLATEAU,0.9845,PLATEAU,0.8523,,,,0.3900,0.5700
msci_world,7,1,2008-01-04,2026-03-27,88,0.080267,0.086616,0.926700,-0.171528,0.467954,0.943848,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0434,—,ROBUST,0.0867,—,,,,,PLATEAU,0.9747,PLATEAU,0.8803,,,,0.2700,0.7000
msci_world,7,2,2008-01-04,2026-03-27,100,0.082670,0.080559,1.026208,-0.121317,0.681442,1.064149,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0440,—,ROBUST,0.0897,—,,,,,PLATEAU,0.9605,PLATEAU,0.8355,,,,0.3300,0.6400
msci_world,8,1,2008-01-04,2026-03-27,86,0.075718,0.075292,1.005650,-0.159413,0.474979,1.043439,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0432,—,ROBUST,0.0891,—,,,,,PLATEAU,0.9810,PLATEAU,0.8711,,,,0.4474,0.5263
msci_world,8,2,2008-01-04,2026-03-27,120,0.068044,0.076011,0.895185,-0.189394,0.359270,0.899481,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0423,—,ROBUST,0.0925,—,,,,,PLATEAU,0.9791,PLATEAU,1.0075,,,,0.3556,0.5333
msci_world,9,1,2008-01-04,2026-03-27,89,0.079047,0.085105,0.928820,-0.187908,0.420669,0.943115,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0434,—,ROBUST,0.0739,—,,,,,PLATEAU,0.9830,PLATEAU,0.9101,,,,0.2722,0.6222
msci_world,9,2,2008-01-04,2026-03-27,104,0.085062,0.111643,0.761913,-0.268274,0.317072,0.750968,,,,,,,0.042870,1.8551,0.044102,0.2226,,,,,,,,,,ROBUST,0.0447,—,ROBUST,0.0799,—,,,,,PLATEAU,0.9901,PLATEAU,1.0051,,,,0.1222,0.8444
