group,eq_obj,bd_obj,alloc_obj,mc_component,eq_cagr,eq_sharpe,eq_calmar,eq_maxdd,bd_cagr,bd_sharpe,bd_calmar,bd_maxdd,portfolio_cagr,portfolio_sharpe,portfolio_calmar,portfolio_maxdd,portfolio_sortino,n_reallocations,mc_verdict,mc_p05_cagr,mc_p05_maxdd,mc_p_worse,year_win_count,year_win_detail,switch_all_met,switch_n_met,switch_detail
incumbent,calmar,calmar,calmar,equity,0.104967,0.883081,0.372872,-0.281508,0.036980,1.497035,0.512704,-0.072127,0.117320,1.073553,0.686960,-0.170782,1.090226,12,ROBUST,0.086392,-0.347475,,0,2021:L(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:L(+24.5%vs+24.5%),False,5,INCUMBENT
A_eq,sharpe,calmar,calmar,equity,0.104725,0.846186,0.433042,-0.241836,0.036980,1.497035,0.512704,-0.072127,0.119749,1.094402,0.701184,-0.170782,1.112320,12,FRAGILE,0.079164,-0.297206,,2,2021:W(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:W(+24.5%vs+24.5%),False,1,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=FAIL | year_wins=FAIL
A_eq,sortino,calmar,calmar,equity,0.111533,0.906091,0.470471,-0.237066,0.036980,1.497035,0.512704,-0.072127,0.119749,1.094402,0.701184,-0.170782,1.112320,12,FRAGILE,0.084124,-0.297194,,2,2021:W(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:W(+24.5%vs+24.5%),False,1,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=FAIL | year_wins=FAIL
A_eq,calmar_sharpe,calmar,calmar,equity,0.110952,0.913090,0.426514,-0.260136,0.036980,1.497035,0.512704,-0.072127,0.122615,1.099690,0.717964,-0.170782,1.117793,11,ROBUST,0.090725,-0.297194,,2,2021:W(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:W(+9.0%vs+8.6%) | 2025:L(+24.5%vs+24.5%),False,3,cagr=PASS | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
A_eq,calmar_sortino,calmar,calmar,equity,0.110952,0.913090,0.426514,-0.260136,0.036980,1.497035,0.512704,-0.072127,0.122615,1.099690,0.717964,-0.170782,1.117793,11,ROBUST,0.090725,-0.297194,,2,2021:W(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:W(+9.0%vs+8.6%) | 2025:L(+24.5%vs+24.5%),False,3,cagr=PASS | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
B_bd,calmar,sharpe,calmar,bond,0.104967,0.883081,0.372872,-0.281508,0.037791,1.526734,0.523946,-0.072127,0.117320,1.073553,0.686960,-0.170782,1.090226,12,ROBUST,0.035295,-0.079854,,0,2021:L(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:L(+24.5%vs+24.5%),False,2,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
B_bd,calmar,sortino,calmar,bond,0.104967,0.883081,0.372872,-0.281508,0.037791,1.526734,0.523946,-0.072127,0.117320,1.073553,0.686960,-0.170782,1.090226,12,ROBUST,0.035295,-0.079854,,0,2021:L(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:L(+24.5%vs+24.5%),False,2,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
B_bd,calmar,calmar_sharpe,calmar,bond,0.104967,0.883081,0.372872,-0.281508,0.037791,1.526734,0.523946,-0.072127,0.117320,1.073553,0.686960,-0.170782,1.090226,12,ROBUST,0.035295,-0.079854,,0,2021:L(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:L(+24.5%vs+24.5%),False,2,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
B_bd,calmar,calmar_sortino,calmar,bond,0.104967,0.883081,0.372872,-0.281508,0.037791,1.526734,0.523946,-0.072127,0.117320,1.073553,0.686960,-0.170782,1.090226,12,ROBUST,0.035295,-0.079854,,0,2021:L(+18.4%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:L(+24.5%vs+24.5%),False,2,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
C_alloc,calmar,calmar,sharpe,,0.104967,0.883081,0.372872,-0.281508,0.036980,1.497035,0.512704,-0.072127,0.096133,0.981742,0.562898,-0.170782,0.994959,13,,,,,1,2021:L(+5.0%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:W(+9.0%vs+8.6%) | 2025:L(+16.3%vs+24.5%),False,2,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
C_alloc,calmar,calmar,sortino,,0.104967,0.883081,0.372872,-0.281508,0.036980,1.497035,0.512704,-0.072127,0.096024,0.981889,0.562262,-0.170782,0.995141,12,,,,,1,2021:L(+5.0%vs+18.4%) | 2022:L(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:W(+9.0%vs+8.6%) | 2025:L(+16.3%vs+24.5%),False,2,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
C_alloc,calmar,calmar,calmar_sharpe,,0.104967,0.883081,0.372872,-0.281508,0.036980,1.497035,0.512704,-0.072127,0.110650,1.044480,0.647903,-0.170782,1.058069,14,,,,,2,2021:L(+11.6%vs+18.4%) | 2022:W(+1.9%vs+1.9%) | 2023:L(+37.3%vs+37.3%) | 2024:L(+8.6%vs+8.6%) | 2025:W(+24.5%vs+24.5%),False,2,cagr=FAIL | calmar=FAIL | maxdd=PASS | mc_robust=PASS | year_wins=FAIL
